init_robot_delivery,human_state,prioritize_charge,battery,battery_charging,robot_complete,workload_subtract,handover,battery_threshold,work_load,full_high,inventory,full_high_battery,robot_delivery,charging,full,robot_state,increment_robot_delivery,human_workstation,workload_add,complete_transfer_amount,robot_action,human_complete,battery_charge_deduct
15,work,FALSE,500,1,0,1,FALSE,50,5,25,0,500,15,FALSE,15,0,15,3,15,0,right,0,1
15,work,FALSE,499,1,0,1,FALSE,50,4,25,0,500,15,FALSE,15,1,15,3,15,0,right,1,1
15,work,FALSE,498,1,0,1,FALSE,50,3,25,0,500,15,FALSE,15,2,15,3,15,0,right,2,1
15,refill,FALSE,497,1,0,1,TRUE,50,18,25,0,500,0,FALSE,15,3,15,3,15,2,left,2,1
15,work,FALSE,496,1,2,1,FALSE,50,17,25,0,500,0,FALSE,15,2,15,3,15,0,left,1,1
15,work,FALSE,495,1,2,1,FALSE,50,16,25,0,500,0,FALSE,15,1,15,3,15,0,left,2,1
15,work,FALSE,494,1,2,1,TRUE,50,15,25,0,500,15,FALSE,15,0,15,3,15,0,right,3,1
15,work,FALSE,493,1,0,1,FALSE,50,14,25,0,500,15,FALSE,15,1,15,3,15,0,left,4,1
15,work,FALSE,492,1,0,1,FALSE,50,13,25,0,500,15,FALSE,15,0,15,3,15,0,stay,5,1
15,work,FALSE,493,1,0,1,FALSE,50,12,25,0,500,15,TRUE,15,0,15,3,15,0,stay,6,1
15,work,FALSE,494,1,0,1,FALSE,50,11,25,0,500,15,TRUE,15,0,15,3,15,0,stay,7,1
15,work,FALSE,495,1,0,1,FALSE,50,10,25,0,500,15,TRUE,15,0,15,3,15,0,stay,8,1
15,work,FALSE,496,1,0,1,FALSE,50,9,25,0,500,15,TRUE,15,0,15,3,15,0,stay,9,1
15,work,FALSE,497,1,0,1,FALSE,50,8,25,0,500,15,TRUE,15,0,15,3,15,0,stay,10,1
15,work,FALSE,498,1,0,1,FALSE,50,7,25,0,500,15,TRUE,15,0,15,3,15,0,stay,11,1
15,work,FALSE,499,1,0,1,FALSE,50,6,25,0,500,15,TRUE,15,0,15,3,15,0,stay,12,1
15,work,FALSE,500,1,0,1,FALSE,50,5,25,0,500,15,TRUE,15,0,15,3,15,0,right,13,1
15,work,FALSE,499,1,0,1,FALSE,50,4,25,0,500,15,FALSE,15,1,15,3,15,0,right,14,1
15,work,FALSE,498,1,0,1,FALSE,50,3,25,0,500,15,FALSE,15,2,15,3,15,0,right,15,1
15,refill,FALSE,497,1,0,1,TRUE,50,18,25,0,500,0,FALSE,15,3,15,3,15,15,left,15,1
15,work,FALSE,496,1,15,1,FALSE,50,17,25,0,500,0,FALSE,15,2,15,3,15,0,left,1,1
15,work,FALSE,495,1,15,1,FALSE,50,16,25,0,500,0,FALSE,15,1,15,3,15,0,left,2,1
15,work,FALSE,494,1,15,1,TRUE,50,15,25,0,500,15,FALSE,15,0,15,3,15,0,right,3,1
15,work,FALSE,493,1,0,1,FALSE,50,14,25,0,500,15,FALSE,15,1,15,3,15,0,left,4,1
