%time,field.layout.data_offset,field.data0,field.data1
1547843680968476984,0,57,0
1547843691981862335,0,57,1
1547843702971588710,0,57,2
1547843713995838592,0,57,3
1547843724972635327,0,57,4
1547843736013551880,0,57,4
1547843746970862881,0,56,3
1547843757972773963,0,56,2
1547843768971875191,0,56,3
1547843779968660857,0,56,4
1547843791001185733,0,56,4
1547843801971993223,0,56,4
1547843812979986236,0,56,3
1547843823973755987,0,55,2
1547843834967693819,0,55,1
1547843845971860026,0,55,0
1547843856969554345,0,55,0
1547843868004901541,0,55,1
1547843878969307367,0,55,2
1547843889969425807,0,54,3
1547843900981443324,0,54,4
1547843911979450235,0,54,4
1547843922973531398,0,54,4
1547843933970197447,0,54,3
1547843944979116331,0,54,4
1547843955973595032,0,54,4
1547843966972874720,0,53,3
1547843977986511959,0,53,2
1547843988971389150,0,53,1
1547843999997268125,0,53,0
1547844010971480069,0,53,0
1547844021975507748,0,53,0
1547844032972264230,0,52,1
1547844043974589199,0,52,2
1547844054967792073,0,52,3
1547844065972658325,0,52,4
1547844076974326997,0,52,4
1547844087971258187,0,52,4
1547844098968919721,0,52,4
1547844109978718995,0,51,3
1547844120973752358,0,51,4
1547844132000185604,0,51,3
1547844142973930917,0,51,2
1547844154008577912,0,51,1
1547844164971887141,0,51,0
1547844175969750463,0,50,0
1547844186986542478,0,50,1
1547844197969038600,0,50,2
1547844209006932343,0,50,3
1547844219973283081,0,50,4
1547844231012662291,0,50,4
1547844242078851384,0,50,4
1547844252979503007,0,49,3
1547844263973709374,0,49,4
1547844274969509346,0,49,3
1547844285977515368,0,49,2
1547844296968558276,0,49,1
1547844307985166315,0,49,0
1547844318972856674,0,48,0
1547844329968314499,0,48,1
1547844340973415352,0,48,2
1547844351968752162,0,48,3
1547844362972805586,0,48,4
1547844373974087696,0,48,4
1547844384971847289,0,48,4
1547844395977197456,0,47,3
