time,state,workload,complete_work_with_robot,tries,success,obstacle2,obstacle3,human_at_start_of_check
0.0009558200836181641,1,12,0,0,0,0,0,True
10.55433177947998,1,11,0,0,0,0,0,True
17.569323778152466,2,11,0,0,0,0,0,True
33.66972494125366,3,9,0,0,0,0,0,True
65.55832982063293,4,24,1,0,0,0,0,True
76.58074879646301,3,23,1,0,0,0,0,True
93.68352699279785,2,22,1,0,0,0,0,True
143.55692887306213,0,17,1,1,1,0,0,True
149.56575083732605,1,16,0,0,0,0,0,True
160.58168387413025,1,15,0,0,0,0,0,True
171.56062984466553,1,14,0,0,0,0,0,True
182.58315587043762,1,13,0,0,0,0,0,True
189.56130480766296,2,12,0,0,0,0,0,True
205.55995297431946,3,11,0,0,0,0,0,True
235.55939388275146,4,26,1,0,0,0,0,True
246.58263778686523,3,25,1,0,0,1,0,True
257.56119179725647,3,24,1,0,0,0,0,True
274.56634998321533,2,23,1,0,0,0,0,True
324.5733549594879,0,18,1,1,1,0,0,True
330.58382296562195,1,17,0,0,0,0,0,True
341.56191897392273,1,16,0,0,0,0,0,True
352.57773995399475,1,15,0,0,0,0,0,True
363.55663299560547,1,14,0,0,0,0,0,True
374.57349491119385,1,13,0,0,0,0,0,True
381.58918595314026,2,12,0,0,0,0,1,True
392.570298910141,2,11,0,0,0,0,0,True
408.56830382347107,3,10,0,0,0,0,0,True
438.56494998931885,4,25,1,0,0,0,0,True
449.55036997795105,3,24,1,0,0,1,0,True
460.5679409503937,3,23,1,0,0,0,0,True
477.60169100761414,2,22,1,0,0,0,0,True
527.5497279167175,0,17,1,1,1,0,0,True
533.5596528053284,1,16,0,0,0,0,0,True
544.576831817627,1,15,0,0,0,0,0,True
555.5927298069,1,14,0,0,0,0,0,True
566.5729129314423,1,13,0,0,0,0,0,True
573.5875577926636,2,12,0,0,0,0,1,True
584.5659518241882,2,11,0,0,0,0,0,True
600.5627658367157,3,10,0,0,0,0,0,True
630.5914499759674,4,25,1,0,0,0,1,True
641.5720539093018,4,25,1,0,0,0,0,True
652.592976808548,3,24,1,0,0,1,0,True
663.5728509426117,3,23,1,0,0,0,0,True
679.5734348297119,2,22,1,0,0,0,0,True
729.5777487754822,0,17,1,1,1,0,0,True
735.5855767726898,1,16,0,0,0,0,0,True
746.5657758712769,1,15,0,0,0,0,0,True
757.5443918704987,1,14,0,0,0,0,0,True
768.5612227916718,1,13,0,0,0,0,0,True
775.5751049518585,2,12,0,0,0,0,1,True
786.5537269115448,2,11,0,0,0,0,0,True
802.5531959533691,3,10,0,0,0,1,0,True
832.5503749847412,4,25,1,0,0,0,0,True
843.5725409984589,3,24,1,0,0,0,0,True
854.5511009693146,3,23,1,0,0,0,0,True
870.5452468395233,2,22,1,0,0,0,0,True
921.5529179573059,0,17,1,1,1,0,0,True
927.560712814331,1,16,0,0,0,0,0,True
938.5386989116669,1,15,0,0,0,0,0,True
949.5553598403931,1,14,0,0,0,0,0,True
960.5344138145447,1,13,0,0,0,0,0,True
967.5472168922424,2,12,0,0,0,0,0,True
984.5477199554443,3,11,0,0,0,0,0,True
1014.5165958404541,4,26,1,0,0,0,0,True
1025.5394639968872,3,25,1,0,0,0,0,True
1036.5196697711945,3,24,1,0,0,1,0,True
1047.5333797931671,3,23,1,0,0,0,0,True
1064.5320389270782,2,22,1,0,0,0,1,True
1114.5375077724457,0,17,1,1,1,0,0,True
1120.508306980133,1,16,0,0,0,0,0,True
1131.5233669281006,1,15,0,0,0,0,0,True
1142.5017828941345,1,14,0,0,0,0,0,True
1153.5181407928467,1,13,0,0,0,0,0,True
1160.531861782074,2,12,0,0,0,0,0,True
1177.5309069156647,3,11,0,0,0,0,0,True
1207.5249598026276,4,26,1,0,0,0,0,True
1218.508591890335,3,25,1,0,0,1,0,True
1229.5263278484344,3,24,1,0,0,0,0,True
1245.5256748199463,2,23,1,0,0,0,0,True
1295.5321378707886,0,18,1,1,1,0,0,True
1301.504490852356,1,17,0,0,0,0,0,True
1312.5193629264832,1,16,0,0,0,0,0,True
1323.499934911728,1,15,0,0,0,0,0,True
1334.5145750045776,1,14,0,0,0,0,0,True
1345.4949638843536,1,13,0,0,0,0,0,True
1352.5096600055695,2,12,0,0,0,0,0,True
1368.5050117969513,3,11,0,0,0,0,0,True
1398.500233888626,4,26,1,0,0,0,0,True
1409.5246567726135,3,25,1,0,0,1,0,True
1420.5039598941803,3,24,1,0,0,0,0,True
