time,state,workload,complete_work_with_robot,tries,success,obstacle2,obstacle3,human_at_start_of_check
0.20386886596679688,1,26,0,0,0,0,0,True
10.750272989273071,2,25,0,0,0,0,0,True
23.37949299812317,1,24,0,0,0,0,0,True
33.82980990409851,1,23,0,0,0,0,0,True
44.71581983566284,1,22,0,0,0,0,0,True
57.53878688812256,1,21,0,0,0,0,0,True
68.76248693466187,1,20,0,0,0,0,0,True
79.65265393257141,1,19,0,0,0,0,0,True
90.67325282096863,1,18,0,0,0,0,0,True
101.65374779701233,1,17,0,0,0,0,0,True
112.7740728855133,1,16,0,0,0,0,0,True
123.67188596725464,1,15,0,0,0,0,0,True
134.77448678016663,1,14,0,0,0,0,0,True
145.72130298614502,1,13,0,0,0,0,0,True
152.7052869796753,2,13,0,0,0,0,0,True
170.48243689537048,3,11,0,0,0,0,0,True
207.38916683197021,4,26,1,0,0,0,0,True
218.6602189540863,3,25,1,0,0,0,0,True
236.8716959953308,2,24,1,0,0,0,0,True
288.2584228515625,0,19,1,1,0,0,0,True
298.6024649143219,0,18,1,2,1,0,0,True
306.89100885391235,1,17,0,0,0,0,0,True
317.7790758609772,1,16,0,0,0,0,0,True
328.721275806427,1,15,0,0,0,0,0,True
339.7036998271942,1,14,0,0,0,0,0,True
350.7754240036011,1,13,0,0,0,0,0,True
357.75313997268677,2,13,0,0,0,0,0,True
375.40832781791687,3,11,0,0,0,0,0,True
411.74225091934204,4,26,1,0,0,0,0,True
